['/p/BvwGmJNFS6v/'],"5,855",27,-1,"['#MSME', '#CongressManifesto2019']"
['/p/BvwElFlFZEo/'],"6,790",55,-1,['#CongressManifesto2019']
['/p/BvwEbkvldlM/'],"7,922",63,-1,['#CongressManifesto2019']
['/p/BvwDvkZlUBG/'],"8,319",123,-1,"['#NYAY', '#CongressManifesto2019']"
['/p/Bvv2m-ylr63/'],"12,426",408,46.9k,"['#CongressManifesto2019', '#CongressManifesto2019', '#namoagain', '#mainbechowkidar', '#narendramodi']"
['/p/Bvvoz4MF-LF/'],12.7k,346,-1,['#CongressManifesto2019']
['/p/BvuhH5Ilr_M/'],10.1k,146,-1,[]
['/p/Bvt7gnFF6i9/'],"17,494",709,142k,['#ModiMatBanao']
['/p/BvtHcvFF4lC/'],10.2k,240,-1,"['#AprilFoolsDay', '#ModiMatBanao']"
['/p/Bvs3_-hlOwh/'],"8,915",196,48.7k,['#ModiMatBanao']
['/p/Bvq9BVglw9s/'],"15,629","1,173",135k,[]
['/p/Bvqw7sKFRnW/'],13.5k,123,-1,['#NationalSecurity']
['/p/BvqOW3EFjG4/'],15.4k,"1,773",-1,['#EkHiChowkidarChorHai']
['/p/BvqOMo8lt7I/'],"15,900",540,91.7k,"['#EkHiChowkidarChorHai', '#SundayFunday']"
['/p/BvqOHfjlTeU/'],17.2k,748,-1,['#EkHiChowkidarChorHai']
['/p/Bvo8Jm5FcIZ/'],"8,984",371,39k,['#InConversationWith']
['/p/BvocDRwlJqV/'],"10,057",402,47k,"['#YaadRakhna', '#Demonetisation', '#NoMo', '#Yaadrakhna']"
['/p/Bvn0QgrF0U1/'],11.8k,102,-1,"['#Rajasthan', '#RajasthanDiwas']"
['/p/BvlRUjtF5pB/'],"14,675","1,317",172k,[]
['/p/BvjZWGVFXcL/'],"20,850",920,122k,"['#TBT', '#Unemployment', '#NoMo', '#Modi']"
['/p/BviuKk0FZoU/'],17.8k,846,-1,"['#namoagain', '#ragafail']"
['/p/Bvii1B7lv8g/'],"9,054",334,56.2k,['#PunKiBaat']
['/p/BviQJ84Fnh5/'],"12,579",573,68.4k,"['#namo', '#namoagain2019']"
['/p/Bvgn2a-FJSM/'],19.4k,446,-1,"['#DidYouKnow', '#ISRO', '#KnowYourLegacy', '#60YearsOfCongress']"
['/p/Bvgd6WZlmsz/'],41.7k,599,-1,"['#Congratulations', '#IndianNationalCongress']"
['/p/BvgEq1wl6uM/'],19.5k,498,-1,"['#WednesdayWisdom', '#ChowkidarChor', '#UturnSarkar']"
['/p/BveorvylANX/'],"14,535",470,61.4k,"['#Congress', '#entrepreneurs', '#कांग्रेस_की_शक्ति']"
['/p/BveVteOFDul/'],"8,863",125,-1,"['#ContestAlert', '#NYAY', '#NYAYforIndia', '#MinimumIncomeGuarantee', '#MIG', '#LogoDesign']"
['/p/BveD5zCFS5o/'],"9,651",183,41.2k,['#JanSankalpRally']
['/p/BvbqL14lpu9/'],"23,351","2,635",307k,['#RahulForBehtarBharat']
['/p/BvbeSRhFHnN/'],18.7k,710,-1,"['#UPA', '#demonetisation', '#poverty', '#RahulForBehtarBharat', '#NYAY', '#MinimumIncomeGuarantee', '#MIG', '#BreakingNews']"
['/p/Bva_qpRllMZ/'],"18,002",461,69.5k,"['#India', '#MondayMotivation', '#RahulForBehtarBharat', '#WeAreOne', '#Unity']"
['/p/BvYp0xZFXxD/'],"10,018",333,47.1k,"['#YaadRakhna', '#FuelPrices', '#UturnSarkar', '#NoMo']"
['/p/BvWjMA9ljEa/'],"7,735",50,-1,[]
['/p/BvWOXp_FZuh/'],"8,203",327,32.2k,['#JanBhavnaRally']
['/p/BvV3cigFsq7/'],12.4k,550,-1,"['#CartoonOfTheDay', '#ChowkidarChorHai', '#ChorChowkidar', '#SaturdayVibes']"
['/p/BvUDV0YlA7v/'],"14,617",399,78.9k,"['#IndiaPreneurs', '#StartupIndia', '#RahulGandhiWithEntrepreneurs']"
['/p/BvTn7knFhku/'],15.7k,405,-1,"['#ChowkidarNahiRozgaarChahiye', '#ThugsOfHindustan', '#ChowkidarChorHai']"
['/p/BvThii1FXva/'],"16,792","1,460",223k,['#ChowkidarNahiRozgaarChahiye']
['/p/BvTQXoulcF3/'],21.7k,666,-1,"['#chowkidars', '#ChowkidarChorHai', '#ChowkidarNahiRozgaarChahiye']"
['/p/BvQsITfl4iJ/'],"6,872",62,-1,"['#Holi', '#FestivalOfColours', '#HoliFestival', '#India', '#ArtistsOnInstagram', '#InstaStory']"
['/p/BvQg6h8lMxe/'],"11,345",60,38.2k,"['#RangAnekHumEk', '#HappyHoli', '#namoagain', '#indion', '#army']"
['/p/BvOtY1SF2gD/'],"7,344",133,-1,"['#education', '#RahulDemocracyDialogue', '#QuotesOfRahulGandhi']"
['/p/BvOs7GGlsYP/'],"9,734",192,51.5k,"['#RahulDemocracyDialogue', '#FitnessMotivation']"
['/p/BvOqq3ilR0e/'],"6,849",103,-1,"['#NorthEast', '#RahulDemocracyDialogue', '#QuotesOfRahulGandhi']"
['/p/BvOpZhdFmAO/'],"6,055",58,18k,"['#RahulDemocracyDialogue', '#SpreadLove']"
['/p/BvOow4jF3jF/'],"8,871",156,-1,"['#youth', '#RahulDemocracyDialogue', '#QuotesOfRahulGandhi']"
