['/p/BwMi8VfAjRX/'],316k,"2,056",-1,0
['/p/BwLvl7YAHWh/'],26.6k,199,-1,0
['/p/BwOtsvWlDUe/'],"1,243",17,-1,0
['/p/BwHic7QhfYm/'],14.6k,50,-1,0
['/p/BwOSTOUAZnM/'],937,12,-1,0
['/p/BwM8MmEgSiU/'],"6,044",71,-1,0
['/p/BwFsBy3gGWl/'],"7,740",92,-1,0
['/p/BwK8XHbnCOi/'],"5,479",15,-1,0
['/p/BwEIMGQFBtJ/'],"2,363",75,-1,0
['/p/Bv-fWV8HThD/'],226k,"1,012",-1,0
['/p/BwPUsdknDdD/'],937,39,-1,0
['/p/BwEBBj2lOZa/'],"1,824",13,-1,0
['/p/BwNVAjzgqzF/'],534,16,-1,0
['/p/BwMvH64FZbS/'],722,19,-1,0
['/p/BwN6mkMpQTW/'],906,6,-1,0
['/p/BwPkZL5lmSx/'],247,0,-1,0
['/p/BwFE_zhhYRk/'],488,1,-1,0
['/p/BwO3xvMB0Pw/'],75.7k,453,-1,0
['/p/BwL2-tTDksQ/'],"6,729",33,-1,0
['/p/BwO3hRmlp9-/'],"8,415",50,-1,0
['/p/BwMxT5fHT3g/'],19.2k,68,-1,0
['/p/BwH2rNSg87k/'],54,2,-1,0
['/p/Buxjly9HGYp/'],"6,342",113,-1,0
['/p/BwL2HJwHH-z/'],213,1,-1,0
['/p/BwKCPHPh41Q/'],77,0,-1,0
['/p/BwAy3rzglU2/'],26.7k,571,-1,0
['/p/BwMtG7XHpOs/'],"1,230",18,-1,0
['/p/BwG5UYLgWgu/'],17.9k,513,-1,0
['/p/BvpoV6eAv3N/'],"1,365",10,-1,0
['/p/BwKfVOUB42D/'],"1,302",18,-1,0
['/p/BwPliA-BOjS/'],19.9k,50,-1,0
['/p/BwExyfHFgpi/'],195,98,-1,0
['/p/BwMuoBIB9T3/'],19.8k,275,-1,0
['/p/BwO8dcwFyBn/'],972,4,-1,0
['/p/BwKS5VgApZ2/'],423,9,-1,0
['/p/BwEw2LThTcj/'],101k,574,-1,0
['/p/BwJ7CJRngxj/'],"1,260",64,-1,0
['/p/BwNJjb6FG2W/'],"4,278",184,-1,0
['/p/BwHZjneJ58f/'],18k,278,-1,0
['/p/BwHi1P8HiVV/'],"7,170",59,-1,0
['/p/BwHesblgfvS/'],"2,515",48,-1,0
['/p/BwMl2jtHyJR/'],"2,416",19,-1,0
['/p/BwCKYB0gA68/'],"2,496",37,-1,0
['/p/BwM8Plzj3v5/'],"1,230",16,-1,0
['/p/BwPZErinfMc/'],"7,142",12,-1,0
['/p/BwAGxEThnTz/'],23k,160,-1,0
['/p/BwG5dqQArG6/'],13.8k,36,-1,0
['/p/BwMql7wgqEq/'],109k,532,-1,0
['/p/BwPQzYyjsmP/'],85.9k,566,-1,0
['/p/Bv12Fq_A364/'],734,10,-1,0
['/p/BwECebHH2b4/'],16.3k,82,-1,0
['/p/BwCOftbFCaV/'],71,4,-1,0
['/p/BwLTG2Jp6fz/'],"1,178",14,-1,0
['/p/BwH8G5dgjZM/'],769,4,-1,1
['/p/BwMkWP1h9ZT/'],"4,474",18,-1,0
['/p/BwOZL5hFEvk/'],23.3k,116,-1,0
['/p/BwCt1ksjdW8/'],169k,473,-1,0
['/p/BwChVDZj_cG/'],566,7,-1,0
['/p/BwNIBRxJ_5k/'],"2,183",8,-1,0
['/p/BwC6CKgHDL3/'],10.4k,79,-1,0
['/p/BwNaOi0pvt6/'],"4,177",23,-1,0
['/p/BwCd1pwI7aC/'],56.2k,874,-1,0
['/p/BwPBo-khVOQ/'],"5,439",42,-1,0
['/p/BwOrSuWnuBD/'],"4,831",7,-1,0
['/p/BwJ5_iYHE-s/'],77.8k,406,-1,0
['/p/BwCQH1jjXJ7/'],22.1k,526,-1,0
['/p/BwFi0Q1DalL/'],89.8k,164,-1,0
['/p/BwCd3FzB5iJ/'],15.7k,124,-1,1
['/p/BwJFFXInKA1/'],"3,806",113,-1,0
['/p/Bv9lD27n1KQ/'],"6,426",55,-1,1
['/p/BwMjvojF7nM/'],357,3,-1,0
['/p/Bv-U8EHBzly/'],25.6k,248,-1,0
['/p/BwMHQushpZH/'],316,1,-1,0
['/p/BwMs98qhK6G/'],25.8k,194,-1,0
['/p/BwPATxjlPxs/'],343,0,-1,0
['/p/BwM6borgYC1/'],"8,070",142,-1,0
['/p/BwGSTBbgkEK/'],25.5k,285,-1,1
['/p/BwFZDNXFMiv/'],84.8k,806,-1,0
['/p/BwL54qjFXMi/'],"1,039",8,-1,0
['/p/Bv97jAEl3Ts/'],"1,494",95,-1,0
['/p/BwAqyrwA9V6/'],"4,436",28,-1,0
['/p/BwBsAhQgEeC/'],"5,392",35,-1,1
['/p/BwMqYzlh7mv/'],"6,459",28,-1,0
['/p/BwHW47_gVeP/'],11.5k,359,-1,0
['/p/BwMMsaxAMdw/'],"5,428",48,-1,0
['/p/BwKp3dRAcnA/'],"3,411",22,-1,0
['/p/BwN7er3B6or/'],712,2,-1,0
['/p/BwEwb4ThNpr/'],64.2k,531,-1,0
['/p/BwPX710gv5n/'],56,0,-1,0
['/p/BwIl5SxAmIT/'],"1,239",8,-1,0
['/p/BwOmRTklQbr/'],287,1,-1,0
['/p/BwJ4LfEFrBa/'],874,36,-1,0
['/p/BwKTLi_gYpY/'],"1,961",45,-1,0
['/p/BwMGLzZH-b4/'],48k,276,-1,0
['/p/BwNSt5Gn9_j/'],"9,867",208,-1,0
['/p/BwLexkNFndW/'],"3,392",19,-1,0
['/p/BwOd6bBpaV8/'],"1,003",38,-1,0
