['/p/BwMW7Y1jDqy/'],"2,794",36,"9,190"
['/p/BwMJPigjGaf/'],"7,630",277,29.3k
['/p/BwL87kOJHFf/'],"8,192",33,-1
['/p/BwKUxFGlmZV/'],"10,796",323,48.8k
['/p/BwJRb57lsRG/'],16.4k,609,-1
['/p/BwJNSCfFumh/'],"6,850",58,26.8k
['/p/BwGZA0dlzvT/'],14.5k,565,-1
['/p/BwGY--Jl8ay/'],"6,138",51,-1
['/p/BwGY8muFgVe/'],"6,203",60,-1
['/p/BwEtC7vlbup/'],12.9k,209,-1
['/p/BwEtBqsFRhH/'],"7,708",34,-1
['/p/BwEtAk5lfMB/'],19.5k,293,-1
['/p/BwEs-o2FeB5/'],"8,640",28,-1
['/p/BwEs8b-FVZe/'],"8,640",14,-1
['/p/BwEs6BwlMLl/'],"9,205",31,-1
['/p/BwEg1QvFy0X/'],"24,214","1,053",225k
['/p/BwEfFmulf1Q/'],31.5k,231,-1
['/p/BwEedSwF4MW/'],22.2k,259,-1
['/p/BwCOVH9lE3Q/'],"13,339",650,56.7k
['/p/BwBPQ8qle5k/'],"12,007",444,73.5k
['/p/Bv_-hfPF7KC/'],"8,915",334,43.3k
['/p/Bv_KYfYlYXZ/'],"11,876",316,49.3k
['/p/Bv_JAJZF92M/'],"16,162",517,70.6k
['/p/Bv_F5EPFShE/'],"10,937",313,50.1k
['/p/Bv9ZOwTFKEH/'],14.5k,204,-1
['/p/Bv9Y3ESlyrt/'],"10,904",463,52.1k
['/p/Bv9Yo9hl1a1/'],11.3k,113,-1
['/p/Bv85asdlr2h/'],10.9k,154,-1
['/p/Bv85Ar8lXUP/'],"7,294",236,21k
['/p/Bv8gp-1F5k_/'],19.9k,538,-1
['/p/Bv60d_0lbl8/'],"13,577",401,57.3k
['/p/Bv6V_Pxl_uf/'],"9,440",86,34.8k
['/p/Bv5ulvJlEaf/'],"19,535",498,91.8k
['/p/Bv4ZXp-Ffj7/'],"7,214",182,27.3k
['/p/Bv4UACuFtHv/'],"15,887",238,61.7k
['/p/Bv3u7w-lr7O/'],"13,340",855,70.5k
['/p/Bv1idygl3sZ/'],"19,430",975,85.4k
['/p/Bv0sMD1F4J1/'],"10,136",299,37.2k
['/p/Bvy78EIFDs9/'],"10,475",457,43.2k
['/p/BvyYoO_F1VM/'],"11,745",166,51.8k
['/p/BvyKLWUFXy5/'],"18,836",761,88.9k
['/p/Bvw1Ge-jTpA/'],"33,625",441,134k
['/p/BvwLTaYFGtH/'],"8,705",105,-1
['/p/BvwLGy8lt5u/'],"8,629",195,-1
['/p/BvwKdailRvR/'],"7,156",36,-1
['/p/BvwKN-YF265/'],"6,372",63,-1
['/p/BvwJ5snl7BA/'],10.5k,132,-1
['/p/BvwJpkSlFk8/'],"6,220",52,-1
['/p/BvwHnqDl_G1/'],"5,293",15,-1
['/p/BvwHfEcFe1u/'],"9,662",289,-1
['/p/BvwGmJNFS6v/'],"5,853",27,-1
['/p/BvwElFlFZEo/'],"6,788",55,-1
['/p/BvwEbkvldlM/'],"7,919",63,-1
['/p/BvwDvkZlUBG/'],"8,315",123,-1
['/p/Bvv2m-ylr63/'],"12,416",408,46.8k
['/p/Bvvoz4MF-LF/'],12.7k,346,-1
['/p/BvuhH5Ilr_M/'],10.1k,146,-1
['/p/Bvt7gnFF6i9/'],"17,477",707,142k
['/p/BvtHcvFF4lC/'],10.2k,239,-1
['/p/Bvs3_-hlOwh/'],"8,903",192,48.4k
['/p/Bvq9BVglw9s/'],"15,568","1,148",133k
['/p/Bvqw7sKFRnW/'],13.5k,123,-1
['/p/BvqOW3EFjG4/'],15.4k,"1,773",-1
['/p/BvqOMo8lt7I/'],"15,889",538,91.5k
['/p/BvqOHfjlTeU/'],17.2k,747,-1
['/p/Bvo8Jm5FcIZ/'],"8,983",371,38.9k
['/p/BvocDRwlJqV/'],"10,040",402,46.8k
['/p/Bvn0QgrF0U1/'],11.8k,102,-1
['/p/BvlRUjtF5pB/'],"14,608","1,293",168k
['/p/BvjZWGVFXcL/'],"20,840",919,122k
['/p/BviuKk0FZoU/'],17.8k,843,-1
