['/p/BwMNurXHvfx/'],45303,480,190k,"['#BJP', '#governance']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>रामनवमी के पावन पर्व पर गोरखनाथ मंदिर में गोरक्षपीठाधीश्वर महंत श्री योगी आदित्यनाथ जी महाराज द्वारा कन्या पूजन।</span></div>"
['/p/BwMCYvEnQn2/'],21.3k,140,-1,"['#BJP', '#governance', '#congresshataodeshbachao']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>'फर्स्ट फेज' में ही फुस्स...</span></div>"
['/p/BwLjXhzn37P/'],29.2k,136,-1,"['#BJP', '#governance']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>जलियांवाला बाग के शहीदों के 100वें बलिदान दिवस पर भावभीनी श्रद्धांजलि।</span></div>"
['/p/BwLjFAcHyk4/'],42k,287,-1,"['#BJP', '#governance']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>भए प्रगट कृपाला, दीनदयाला, कौशल्या हितकारी।<br/>हरषित महतारी, मुनि मन हारी, अद्भुत रूप बिचारी॥ श्री राम, जय राम, जय जय राम<br/><br/>आप सभी को श्री रामनवमी की हार्दिक शुभकामनाएं।</span></div>"
['/p/BwKL_5WHWIc/'],24090,226,98.6k,"['#BJP', '#governance']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span class=""Linkify"">जब बात वोट की आती है तो एक ही आवाज आती है... मोदी।<br/><br/>क्रिकेट हो, बॉलीवुड हो, मिठाई हो या हो गाड़ी... आपकी पसंद अलग-अलग हो सकती है। लेकिन जब बात वोट की आती है तो एक ही आवाज आती है... मोदी।</span></div>"
['/p/BwKJvsvHXUN/'],37.6k,306,-1,"['#BJP', '#governance']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>प्रधानमंत्री श्री नरेन्द्र मोदी ने फिर बढ़ाया भारत का मान। <br/>अपने सर्वोच्च नागरिक सम्मान 'सेंट एंड्रयू द एपोस्टल' से प्रधानमंत्री श्री नरेन्द्र मोदी को सम्मानित करेगा रूस।</span></div>"
['/p/BwKJc7ZnegO/'],20712,149,57.4k,"['#BJP', '#governance', '#ModiHiAayega']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>भ्रष्टाचारियों होशियार, <br/>भगोड़ों पर कानून की मार, <br/>बंद हुआ काला कारोबार, <br/>देशद्रोहियों पर कड़ा प्रहार, <br/>आतंक पर आखिरी वार, <br/>दुश्मन हो जा ख़बरदार, <br/>घुसपैठिए भागे सीमा पार, <br/>टूटेगी जात-पात की दीवार,<br/>वंशवाद की होगी हार, <br/>दागदार पर भारी कामदार: पीएम श्री नरेन्द्र मोदी <a href=""/explore/tags/modihiaayega/"">#ModiHiAayega</a></span></div>"
['/p/BwKHlqqnI-Q/'],13010,51,34.5k,"['#BJP', '#governance']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>देश ने जेब लूटने वाले तो कई नेता देखें, देश ने पहली बार ऐसा नेता देखा है जो अपनी सैलरी से लोगों को पैसे देता है।</span></div>"
['/p/BwJDGkynnqh/'],40624,305,170k,"['#BJP', '#governance', '#PhirEkBaarModiSarkaar']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span class=""Linkify"">ये पब्लिक है, सब जानती है।<br/><br/>जनता ने जताया भाजपा के संकल्प पत्र में पूर्ण विश्वास, कांग्रेस के घोषणा पत्र को बताया झूठ का पुलिंदा। ये पब्लिक है, सब जानती है। <a href=""/explore/tags/phirekbaarmodisarkaar/"">#PhirEkBaarModiSarkaar</a></span></div>"
['/p/BwJB_fdnWmh/'],33.6k,259,-1,"['#BJP', '#governance']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>ये तो बस शुरुआत है...</span></div>"
